,t,x,y,z
,0,0,0,0
,,,,
8802,88.02,-11.1246880692,-15.717169984,24.5418742444
8803,88.03,-11.5617201294,-15.9435682137,25.621452049
8804,88.04,-11.9787077478,-16.0585567249,26.7662324811
8805,88.05,-12.366956376,-16.0458244372,27.9600850745
8806,88.06,-12.7170466579,-15.8910787682,29.1824917156
8807,88.07,-13.0190954886,-15.583333824,30.4087451213
8808,88.08,-13.2631148192,-15.1162468972,31.6105589548
8809,88.09,-13.4394635006,-14.4893567734,32.7571401987
8810,88.1,-13.5393739691,-13.7090436882,33.8167177805
8811,88.11,-13.5555201638,-12.789021561,34.7584451577
8812,88.12,-13.4825782405,-11.7502004121,35.5545103042
8813,88.13,-13.3177208354,-10.6198264023,36.1822134191
8814,88.14,-13.0609824564,-9.42991324432,36.6257333447
8815,88.15,-12.7154408325,-8.21510294203,36.8773170774
8816,88.16,-12.287177428,-7.0102065261,36.9376998274
8817,88.17,-11.7850076846,-5.84774515478,36.8156851065
8818,88.18,-11.2200029391,-4.75581642402,36.5269575314
8819,88.19,-10.6048547898,-3.75654642037,36.0923288791
8820,88.2,-9.95315264462,-2.86527249083,35.5356978039
8821,88.21,-9.27865224949,-2.09046723271,34.8820186021
8822,88.22,-8.59460659283,-1.43429580726,34.1555282167
8823,88.23,-7.9132135177,-0.893621818991,33.3783940569
8824,88.24,-7.24521162267,-0.461250874208,32.5698463048
8825,88.25,-6.59963295794,-0.12721907001,31.7457721642
8826,88.26,-5.98370187133,0.120020008604,30.9186909956
8827,88.27,-5.40285643793,0.292599793781,30.0980020847
8828,88.28,-4.86086258428,0.40247462655,29.2903958926
8829,88.29,-4.35999025696,0.460881242457,28.5003358849
8830,88.3,-3.90122407289,0.478001140333,27.7305420882
8831,88.31,-3.48448605354,0.462785305416,26.9824322039
8832,88.32,-3.10885384284,0.422900534686,26.2564971442
8833,88.33,-2.77276326689,0.364760246677,25.5526034909
8834,88.34,-2.47418868553,0.29360907748,24.8702256045
8835,88.35,-2.21079813091,0.213637656031,24.2086158185
8836,88.36,-1.98008276033,0.128110493686,23.5669235581
8837,88.37,-1.7794618198,0.0394953626421,22.9442744574
8838,88.38,-1.60636530693,-0.0504132514297,22.339819554
8839,88.39,-1.45829701944,-0.140380952188,21.7527630641
8840,88.4,-1.33288083169,-0.229632662893,21.1823755236
8841,88.41,-1.22789297783,-0.317765011791,20.6279974675
8842,88.42,-1.14128292526,-0.404671677694,20.0890374236
8843,88.43,-1.07118515742,-0.490480945949,19.564966873
8844,88.44,-1.01592389289,-0.575504421385,19.0553139578
8845,88.45,-0.974012474935,-0.660195708328,18.5596570717
8846,88.46,-0.944148886882,-0.745117839474,18.0776190128
8847,88.47,-0.925208594833,-0.830918274956,17.6088620667
8848,88.48,-0.916235692268,-0.918310372795,17.153084188
8849,88.49,-0.916433124054,-1.00806033386,16.710016326
8850,88.5,-0.925152598407,-1.10097873608,16.2794208804
8851,88.51,-0.941884653234,-1.19791588558,15.8610912435
8852,88.52,-0.966249225382,-1.29976032154,15.4548523892
8853,88.53,-0.99798697507,-1.40743991283,15.0605624817
8854,88.54,-1.03695154026,-1.5219250761,14.6781155071
8855,88.55,-1.08310283436,-1.64423372495,14.30744496
8856,88.56,-1.13650145274,-1.77543762771,13.9485286576
8857,88.57,-1.19730421649,-1.91666990622,13.6013947916
8858,88.58,-1.26576085394,-2.06913344929,13.2661293744
8859,88.59,-1.34221179854,-2.23411004199,12.9428852832
8860,88.6,-1.42708706514,-2.41297002345,12.6318931562
8861,88.61,-1.52090615216,-2.60718228187,12.3334744563
8862,88.62,-1.62427890435,-2.81832437158,12.0480570795
8863,88.63,-1.73790725612,-3.04809249189,11.7761939586
8864,88.64,-1.86258775862,-3.29831099611,11.5185851905
8865,88.65,-1.99921477121,-3.57094099563,11.2761043042
8866,88.66,-2.14878416804,-3.86808748147,11.049829378
8867,88.67,-2.31239736961,-4.19200419375,10.8410798113
8868,88.68,-2.49126545401,-4.54509521621,10.6514596507
8869,88.69,-2.68671302875,-4.92991194323,10.4829084518
8870,88.7,-2.90018144545,-5.3491436415,10.3377607179
8871,88.71,-3.13323081043,-5.80559928673,10.2188149626
8872,88.72,-3.38754007556,-6.30217767295,10.1294133752
8873,88.73,-3.66490427592,-6.84182194194,10.0735328646
8874,88.74,-3.96722770331,-7.42745363963,10.0558878589
8875,88.75,-4.29651145398,-8.06188015836,10.0820445418
8876,88.76,-4.65483335331,-8.74766796789,10.1585450843
8877,88.77,-5.04431772732,-9.48697240755,10.2930386963
8878,88.78,-5.46709185333,-10.2813130959,10.4944137604
8879,88.79,-5.92522518232,-11.131282396,10.7729216142
8880,88.8,-6.42064660192,-12.0361731855,11.1402774044
8881,88.81,-6.95503415043,-12.99351197,11.609716477
8882,88.82,-7.52967079593,-13.99848501,12.1959756994
8883,88.83,-8.14525932858,-15.0432498816,12.9151578029
8884,88.84,-8.80168935458,-16.1161345495,13.7844235836
8885,88.85,-9.49775024544,-17.2007429162,14.8214426757
8886,88.86,-10.2307862855,-18.2750126497,16.0435210053
8887,88.87,-10.9962949769,-19.3103105487,17.4663163429
8888,88.88,-11.7874774837,-20.2707043544,19.1020597648
8889,88.89,-12.5947625608,-21.1126163854,20.9572306613
8890,88.9,-13.4053428254,-21.7851364604,23.0296993449
8891,88.91,-14.2027849372,-22.2313325026,25.3054678085
8892,88.92,-14.9668015949,-22.3909171999,27.7553138784
8893,88.93,-15.6732989961,-22.204564591,30.3318695578
8894,88.94,-16.2948305583,-21.6199707937,32.9679041551
8895,88.95,-16.8015842159,-20.5993795301,35.5767583215
8896,88.96,-17.1629919125,-19.1277530257,38.0558651888
8897,88.97,-17.349963492,-17.2201580142,40.2939628832
8898,88.98,-17.3376108782,-14.9264651504,42.181864432
8899,88.99,-17.1081602229,-12.3314226002,43.6255721647
8900,89.0,-16.6535939289,-9.54881995855,44.559396774
8901,89.01,-15.9774858759,-6.70983940078,44.9560556027
8902,89.02,-15.0955534682,-3.94744773124,44.8309663655
8903,89.03,-14.034671856,-1.38012523535,44.239287133
8904,89.04,-12.8304335632,0.901361126081,43.2662996854
8905,89.05,-11.5236816511,2.84134760704,42.0136592608
8906,89.06,-10.1566695543,4.41990445247,40.5850006094
8907,89.07,-8.76952633041,5.64776252733,39.07405433
8908,89.08,-7.39754107948,6.55786131215,37.5571133046
8909,89.09,-6.06951009939,7.19607236301,36.0901166919
8910,89.1,-4.80712410831,7.61305023266,34.709438112
8911,89.11,-3.62518926759,7.85822079811,33.4349529872
8912,89.12,-2.53239925721,7.97607468394,32.2740266811
8913,89.13,-1.53238660579,8.00440722095,31.2254431691
8914,89.14,-0.624841463249,7.97394224176,30.2827315762
8915,89.15,0.193440291079,7.90879310694,29.4366981541
8916,89.16,0.927652553418,7.82733467597,28.6771901135
8917,89.17,1.58424355341,7.7432014298,27.994222227
8918,89.18,2.17034538232,7.66624700739,27.3786252455
8919,89.19,2.69334912071,7.6033858716,26.8223624137
8920,89.2,3.16060049302,7.55929111499,26.3186314085
8921,89.21,3.57919088933,7.53695161858,25.8618378811
8922,89.22,3.95582129473,7.53810521887,25.4474998189
8923,89.23,4.29672038866,7.56356876919,25.072121091
8924,89.24,4.60760184767,7.61348543418,24.7330575379
8925,89.25,4.89364924447,7.68750693679,24.4283887386
8926,89.26,5.15951972712,7.78492527554,24.1568019167
8927,89.27,5.40935988262,7.90476538317,23.9174902915
8928,89.28,5.64682890857,8.04584760335,23.7100657115
8929,89.29,5.87512552511,8.20682679123,23.5344840354
8930,89.3,6.09701604685,8.38621326197,23.3909810477
8931,89.31,6.31486177683,8.58237964493,23.2800164257
